"Plan_Fahrt_Id";"SITZPLAETZE";"KAP_1m2";"KAP_2m2";"KAP_3m2";"KAP_4m2"
255;32;40.25;48.5;56.75;65
258;32;40.25;48.5;56.75;65
259;32;40.25;48.5;56.75;65
262;32;40.25;48.5;56.75;65
263;32;40.25;48.5;56.75;65
266;32;40.25;48.5;56.75;65
267;32;40.25;48.5;56.75;65
270;32;40.25;48.5;56.75;65
271;32;40.25;48.5;56.75;65
274;32;40.25;48.5;56.75;65
275;32;40.25;48.5;56.75;65
278;32;40.25;48.5;56.75;65
279;32;40.25;48.5;56.75;65
282;32;40.25;48.5;56.75;65
283;32;40.25;48.5;56.75;65
286;32;40.25;48.5;56.75;65
287;32;40.25;48.5;56.75;65
290;32;40.25;48.5;56.75;65
291;32;40.25;48.5;56.75;65
294;32;40.25;48.5;56.75;65
295;32;40.25;48.5;56.75;65
298;32;40.25;48.5;56.75;65
299;32;40.25;48.5;56.75;65
302;32;40.25;48.5;56.75;65
303;32;40.25;48.5;56.75;65
306;32;40.25;48.5;56.75;65
307;32;40.25;48.5;56.75;65
310;32;40.25;48.5;56.75;65
311;32;40.25;48.5;56.75;65
314;32;40.25;48.5;56.75;65
315;32;40.25;48.5;56.75;65
318;32;40.25;48.5;56.75;65
319;32;40.25;48.5;56.75;65
322;32;40.25;48.5;56.75;65
323;32;40.25;48.5;56.75;65
326;32;40.25;48.5;56.75;65
327;32;40.25;48.5;56.75;65
330;32;40.25;48.5;56.75;65
331;32;40.25;48.5;56.75;65
334;32;40.25;48.5;56.75;65
335;32;40.25;48.5;56.75;65
338;32;40.25;48.5;56.75;65
339;32;40.25;48.5;56.75;65
342;32;40.25;48.5;56.75;65
343;32;40.25;48.5;56.75;65
346;32;40.25;48.5;56.75;65
349;48;62.37;76.74;91.11;105.48
350;48;62.37;76.74;91.11;105.48
351;48;62.37;76.74;91.11;105.48
352;48;62.37;76.74;91.11;105.48
353;48;62.37;76.74;91.11;105.48
354;48;62.37;76.74;91.11;105.48
355;48;62.37;76.74;91.11;105.48
356;48;62.37;76.74;91.11;105.48
357;48;62.37;76.74;91.11;105.48
358;48;62.37;76.74;91.11;105.48
359;48;62.37;76.74;91.11;105.48
360;48;62.37;76.74;91.11;105.48
361;48;62.37;76.74;91.11;105.48
362;48;62.37;76.74;91.11;105.48
363;48;62.37;76.74;91.11;105.48
364;48;62.37;76.74;91.11;105.48
365;48;62.37;76.74;91.11;105.48
366;48;62.37;76.74;91.11;105.48
367;48;62.37;76.74;91.11;105.48
368;48;62.37;76.74;91.11;105.48
369;48;62.37;76.74;91.11;105.48
370;48;62.37;76.74;91.11;105.48
371;48;62.37;76.74;91.11;105.48
372;48;62.37;76.74;91.11;105.48
373;48;62.37;76.74;91.11;105.48
374;48;62.37;76.74;91.11;105.48
375;48;62.37;76.74;91.11;105.48
376;48;62.37;76.74;91.11;105.48
377;48;62.37;76.74;91.11;105.48
378;48;62.37;76.74;91.11;105.48
379;48;62.37;76.74;91.11;105.48
380;48;62.37;76.74;91.11;105.48
381;48;62.37;76.74;91.11;105.48
382;48;62.37;76.74;91.11;105.48
383;48;62.37;76.74;91.11;105.48
386;90;122.7;155.4;188.1;220.8
387;90;122.7;155.4;188.1;220.8
388;90;122.7;155.4;188.1;220.8
389;90;122.7;155.4;188.1;220.8
390;90;122.7;155.4;188.1;220.8
391;90;122.7;155.4;188.1;220.8
392;90;122.7;155.4;188.1;220.8
393;90;122.7;155.4;188.1;220.8
394;90;122.7;155.4;188.1;220.8
395;90;122.7;155.4;188.1;220.8
396;90;122.7;155.4;188.1;220.8
397;90;122.7;155.4;188.1;220.8
398;90;122.7;155.4;188.1;220.8
399;90;122.7;155.4;188.1;220.8
400;90;122.7;155.4;188.1;220.8
401;90;122.7;155.4;188.1;220.8
402;90;122.7;155.4;188.1;220.8
403;90;122.7;155.4;188.1;220.8
404;90;122.7;155.4;188.1;220.8
407;48;62.37;76.74;91.11;105.48
408;48;62.37;76.74;91.11;105.48
409;48;62.37;76.74;91.11;105.48
410;48;62.37;76.74;91.11;105.48
411;48;62.37;76.74;91.11;105.48
412;48;62.37;76.74;91.11;105.48
413;48;62.37;76.74;91.11;105.48
414;48;62.37;76.74;91.11;105.48
415;48;62.37;76.74;91.11;105.48
416;48;62.37;76.74;91.11;105.48
417;48;62.37;76.74;91.11;105.48
418;48;62.37;76.74;91.11;105.48
419;48;62.37;76.74;91.11;105.48
420;48;62.37;76.74;91.11;105.48
421;48;62.37;76.74;91.11;105.48
422;48;62.37;76.74;91.11;105.48
423;48;62.37;76.74;91.11;105.48
424;48;62.37;76.74;91.11;105.48
425;48;62.37;76.74;91.11;105.48
426;48;62.37;76.74;91.11;105.48
427;48;62.37;76.74;91.11;105.48
428;48;62.37;76.74;91.11;105.48
429;48;62.37;76.74;91.11;105.48
430;48;62.37;76.74;91.11;105.48
431;48;62.37;76.74;91.11;105.48
432;48;62.37;76.74;91.11;105.48
433;48;62.37;76.74;91.11;105.48
434;48;62.37;76.74;91.11;105.48
435;48;62.37;76.74;91.11;105.48
436;48;62.37;76.74;91.11;105.48
437;48;62.37;76.74;91.11;105.48
440;96;132;168;204;240
442;96;132;168;204;240
443;96;132;168;204;240
445;96;132;168;204;240
446;96;132;168;204;240
448;96;132;168;204;240
449;96;132;168;204;240
451;96;132;168;204;240
452;96;132;168;204;240
454;96;132;168;204;240
455;96;132;168;204;240
457;96;132;168;204;240
458;96;132;168;204;240
462;90;122.7;155.4;188.1;220.8
465;90;122.7;155.4;188.1;220.8
466;90;122.7;155.4;188.1;220.8
469;90;122.7;155.4;188.1;220.8
470;90;122.7;155.4;188.1;220.8
473;90;122.7;155.4;188.1;220.8
474;90;122.7;155.4;188.1;220.8
477;90;122.7;155.4;188.1;220.8
478;90;122.7;155.4;188.1;220.8
481;90;122.7;155.4;188.1;220.8
482;90;122.7;155.4;188.1;220.8
485;90;122.7;155.4;188.1;220.8
486;90;122.7;155.4;188.1;220.8
489;90;122.7;155.4;188.1;220.8
490;90;122.7;155.4;188.1;220.8
493;90;122.7;155.4;188.1;220.8
494;90;122.7;155.4;188.1;220.8
497;90;122.7;155.4;188.1;220.8
498;90;122.7;155.4;188.1;220.8
501;90;122.7;155.4;188.1;220.8
502;90;122.7;155.4;188.1;220.8
505;90;122.7;155.4;188.1;220.8
506;90;122.7;155.4;188.1;220.8
509;44;61.48;78.96;96.44;113.92
511;44;61.48;78.96;96.44;113.92
512;44;61.48;78.96;96.44;113.92
514;44;61.48;78.96;96.44;113.92
515;44;61.48;78.96;96.44;113.92
517;44;61.48;78.96;96.44;113.92
518;44;61.48;78.96;96.44;113.92
520;44;61.48;78.96;96.44;113.92
521;44;61.48;78.96;96.44;113.92
523;44;61.48;78.96;96.44;113.92
524;44;61.48;78.96;96.44;113.92
526;44;61.48;78.96;96.44;113.92
527;44;61.48;78.96;96.44;113.92
529;44;61.48;78.96;96.44;113.92
530;44;61.48;78.96;96.44;113.92
532;44;61.48;78.96;96.44;113.92
533;44;61.48;78.96;96.44;113.92
535;44;61.48;78.96;96.44;113.92
536;44;61.48;78.96;96.44;113.92
538;44;61.48;78.96;96.44;113.92
539;44;61.48;78.96;96.44;113.92
541;44;61.48;78.96;96.44;113.92
542;44;61.48;78.96;96.44;113.92
544;44;61.48;78.96;96.44;113.92
545;44;61.48;78.96;96.44;113.92
547;44;61.48;78.96;96.44;113.92
548;44;61.48;78.96;96.44;113.92
551;90;122.7;155.4;188.1;220.8
552;90;122.7;155.4;188.1;220.8
554;90;122.7;155.4;188.1;220.8
555;90;122.7;155.4;188.1;220.8
557;90;122.7;155.4;188.1;220.8
558;90;122.7;155.4;188.1;220.8
